               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.094861,            0.023235,                   0,            0.068353,             0.30556,            0.046896,           0.0093295,             0.09692,            0.011679,                   0,             0.00901,             0.00901,             0.00901
                  52,            0.092139,            0.023113,                   0,            0.068353,             0.30556,            0.046896,           0.0093295,             0.09692,            0.011679,                   0,           0.0089902,           0.0089902,           0.0089902
                  53,             0.09423,            0.019424,                   0,             0.17665,             0.20833,             0.11979,            0.024839,            0.091243,            0.011782,                   0,           0.0089704,           0.0089704,           0.0089704
                  54,            0.091918,            0.023019,                   0,             0.17665,             0.20833,             0.11979,            0.024839,            0.091243,            0.011782,                   0,           0.0089506,           0.0089506,           0.0089506
                  55,             0.09204,            0.020428,                   0,              0.2508,             0.36111,             0.16173,            0.044108,            0.087216,             0.01218,                   0,           0.0089308,           0.0089308,           0.0089308
                  56,            0.078757,            0.023995,                   0,              0.2508,             0.36111,             0.16173,            0.044108,            0.087216,             0.01218,                   0,            0.008911,            0.008911,            0.008911
                  57,            0.088541,            0.021122,                   0,             0.13058,             0.44444,             0.10254,             0.02174,            0.096169,             0.01078,                   0,           0.0088912,           0.0088912,           0.0088912
                  58,            0.089915,            0.023727,                   0,             0.13058,             0.44444,             0.10254,             0.02174,            0.096169,             0.01078,                   0,           0.0088714,           0.0088714,           0.0088714
                  59,            0.090024,            0.022818,                   0,             0.20598,             0.34722,             0.14677,            0.036918,            0.093448,            0.010746,                   0,           0.0088516,           0.0088516,           0.0088516
                  60,            0.096385,             0.01816,                   0,             0.20598,             0.34722,             0.14677,            0.036918,            0.093448,            0.010746,                   0,           0.0088318,           0.0088318,           0.0088318
                  61,            0.099531,            0.021084,                   0,             0.19668,             0.36111,             0.14482,            0.039063,            0.081903,             0.01178,                   0,            0.008812,            0.008812,            0.008812
                  62,            0.085036,            0.022194,                   0,             0.19668,             0.36111,             0.14482,            0.039063,            0.081903,             0.01178,                   0,           0.0087922,           0.0087922,           0.0087922
                  63,            0.084891,            0.022151,                   0,             0.22175,               0.375,             0.15988,            0.039559,            0.087555,            0.010962,                   0,           0.0087724,           0.0087724,           0.0087724
                  64,            0.087734,            0.021896,                   0,             0.22175,               0.375,             0.15988,            0.039559,            0.087555,            0.010962,                   0,           0.0087526,           0.0087526,           0.0087526
                  65,            0.090033,            0.016829,                   0,             0.31076,                 0.5,              0.2698,            0.076201,            0.083462,            0.011164,                   0,           0.0087328,           0.0087328,           0.0087328
                  66,            0.081231,            0.022266,                   0,             0.31076,                 0.5,              0.2698,            0.076201,            0.083462,            0.011164,                   0,            0.008713,            0.008713,            0.008713
                  67,            0.084133,            0.024494,                   0,             0.33835,             0.47222,              0.3185,              0.0942,            0.078997,            0.011351,                   0,           0.0086932,           0.0086932,           0.0086932
                  68,            0.078973,            0.025595,                   0,             0.33835,             0.47222,              0.3185,              0.0942,            0.078997,            0.011351,                   0,           0.0086734,           0.0086734,           0.0086734
                  69,            0.081758,            0.024113,                   0,             0.25808,             0.38889,             0.20914,            0.057933,             0.08017,            0.011106,                   0,           0.0086536,           0.0086536,           0.0086536
                  70,            0.079365,            0.020656,                   0,             0.25808,             0.38889,             0.20914,            0.057933,             0.08017,            0.011106,                   0,           0.0086338,           0.0086338,           0.0086338
                  71,            0.081271,            0.021656,                   0,             0.27928,             0.39829,             0.19275,            0.054547,             0.08432,            0.010855,                   0,            0.008614,            0.008614,            0.008614
                  72,             0.07901,            0.023455,                   0,             0.27928,             0.39829,             0.19275,            0.054547,             0.08432,            0.010855,                   0,           0.0085942,           0.0085942,           0.0085942
                  73,            0.080646,            0.020628,                   0,             0.26342,             0.43056,             0.19867,            0.057039,            0.090201,            0.010128,                   0,           0.0085744,           0.0085744,           0.0085744
                  74,            0.096753,            0.018621,                   0,             0.26342,             0.43056,             0.19867,            0.057039,            0.090201,            0.010128,                   0,           0.0085546,           0.0085546,           0.0085546
                  75,            0.094289,            0.017651,                   0,             0.29652,             0.51389,             0.28435,            0.094143,            0.082911,            0.010405,                   0,           0.0085348,           0.0085348,           0.0085348
                  76,             0.08232,            0.020799,                   0,             0.29652,             0.51389,             0.28435,            0.094143,            0.082911,            0.010405,                   0,            0.008515,            0.008515,            0.008515
                  77,            0.083451,            0.021122,                   0,             0.46058,             0.40278,             0.38174,             0.11841,            0.074786,            0.010756,                   0,           0.0084952,           0.0084952,           0.0084952
                  78,            0.084172,            0.024902,                   0,             0.46058,             0.40278,             0.38174,             0.11841,            0.074786,            0.010756,                   0,           0.0084754,           0.0084754,           0.0084754
                  79,            0.077207,             0.02001,                   0,             0.43458,                 0.5,             0.45756,             0.14531,            0.075349,            0.010475,                   0,           0.0084556,           0.0084556,           0.0084556
                  80,            0.078616,            0.020482,                   0,             0.43458,                 0.5,             0.45756,             0.14531,            0.075349,            0.010475,                   0,           0.0084358,           0.0084358,           0.0084358
                  81,            0.078623,            0.023122,                   0,             0.33675,             0.41667,             0.27493,            0.063721,            0.095778,           0.0099659,                   0,            0.008416,            0.008416,            0.008416
                  82,            0.090528,            0.018889,                   0,             0.33675,             0.41667,             0.27493,            0.063721,            0.095778,           0.0099659,                   0,           0.0083962,           0.0083962,           0.0083962
                  83,            0.095939,            0.015211,                   0,              0.4785,             0.43056,             0.44513,             0.13435,            0.078461,            0.010265,                   0,           0.0083764,           0.0083764,           0.0083764
                  84,            0.088375,            0.021713,                   0,              0.4785,             0.43056,             0.44513,             0.13435,            0.078461,            0.010265,                   0,           0.0083566,           0.0083566,           0.0083566
